gamma,Ftotal11_mean,Tfull11_mean,Ftotal12_mean,Tfull12_mean,Ftotal21_mean,Tfull21_mean,Ftotal22_mean,Tfull22_mean
0.81,1.002207271255102,1.009934234489796,0.8122030153346939,0.5389707125510205,-0.0013554749285714254,0.1677628067755102,1.0037155334387753,0.9081921072653062
0.82,1.0022172681530612,1.0114952944897961,0.8222489788877552,0.5476549122448979,-0.0013297010438775541,0.16790794459591835,1.0037483732551022,0.9088815446163266
0.83,1.002280804467347,1.0118714204081634,0.8324690447857144,0.5528094437755101,-0.0011594535091836728,0.17205998222448982,1.0040004649285714,0.9118194486428571
0.84,1.002323586714286,1.014079181510204,0.8424774876530612,0.558277480142857,-0.0012069500306122424,0.1752381943367347,1.004253822142857,0.9136599509795919
0.85,1.0028969710918367,1.0146396521428571,0.8523966427448979,0.5562824702755101,-0.0014342706691836732,0.18556731851020408,1.0050190275510205,0.9110653065102041
0.86,1.0029879011428569,1.0166141059183673,0.862524498867347,0.5636764140816326,-0.001288945235816327,0.1882877713265306,1.0050898040159184,0.9126436229510204
0.87,1.0031673113153061,1.0175953999693876,0.8726334753469386,0.5699180381020408,-0.001394720229591839,0.19023476197346936,1.005206320172449,0.9138766791877551
0.88,1.0031187876632652,1.0186584532040817,0.8827008108877552,0.5736088588469387,-0.0014481574948979575,0.19507542924489799,1.0052305233238776,0.9154421928163265
0.89,1.0038598302836736,1.0190836061622448,0.8927788479183675,0.5710262487765305,-0.0021168129448979607,0.20407073157142855,1.0056972043704082,0.9146598537959185
0.9,1.0035549924112244,1.019911039765306,0.9027122749081633,0.5748669411428572,-0.0015016639072448956,0.2072623157959184,1.0060790347836734,0.9147023977857144
0.91,1.0042722475091836,1.0204460142857144,0.9131655645244897,0.5697716512040816,-0.0008601745168367321,0.21783455533469387,1.0057311916775509,0.9152778269132653
0.92,1.0043744064163265,0.9907416593877553,0.9234107223704082,0.48982166962244894,-0.0009953650948979595,0.30495941608979593,1.0059631530909183,0.9351269635785714
0.93,1.004195691855102,0.9886843514999999,0.9331546817255103,0.48005906678571436,-0.0013044401870816302,0.32278876544897955,1.0059183304000001,0.9391210238979593
0.94,1.004060345445204,0.9836644970938776,0.9432099709285714,0.46334743492448976,-0.0013081869498979565,0.344957550255102,1.0062455161968367,0.9437988640612245
0.95,1.0035612955348983,0.9802959564459183,0.9530987668979591,0.45213499334285706,-0.00016254478571428382,0.3637364210959183,1.0080595384081634,0.9451182230918367
0.96,1.0034163969383671,0.9759373665306124,0.9636204512244897,0.4282160224489796,-0.00015623615016326404,0.39207134663877546,1.0080858819214287,0.9546625319959183
0.97,1.0045427371642859,0.9634501736020408,0.9743138470102041,0.3798250391428572,-0.0009248242205102069,0.4443572577346939,1.0082652442867346,0.971204402244898
0.98,1.004676350214286,0.955527751387755,0.9841700178163265,0.35480693306122446,-0.0015896633795918391,0.47167611610408167,1.007919154905102,0.9791421323704083
0.99,1.0050835164071428,0.9563768655612245,0.994897505415306,0.3469134808061225,-0.0018796658928571424,0.48269469297959183,1.008318736860204,0.9884022004489798
1.0,1.0058768878959183,0.9565575217336734,1.0051270879632654,0.3345017653755102,-0.0012583713459183672,0.49311066236530615,1.0088583080948978,0.9898212525295917
